,year,name,href,type,boxoffice,mean_price,mean_people,times
121,2012,四大名捕,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573396,动作,19182,33,23,2012-07-12
122,2012,大侦探福尔摩斯2,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=590198,惊悚/动作,18806,33,37,2012-01-15
123,2012,饥饿游戏,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=602842,动作/科幻,17434,34,26,2012-06-14
124,2012,大魔术师,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589861,爱情,17363,34,33,2012-01-12
125,2013,西游降魔篇,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589797,奇幻,124699,40,41,2013-02-10
126,2013,钢铁侠3,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=346818,科幻,75486,42,33,2013-05-01
127,2013,致我们终将逝去的青春,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=596973,爱情,71910,32,36,2013-04-26
128,2013,环太平洋,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=616436,科幻,69465,40,38,2013-07-31
129,2013,狄仁杰之神都龙王,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=591779,动作,60078,40,30,2013-09-28
130,2013,私人订制,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=610928,喜剧,58872,36,35,2013-12-19
131,2013,中国合伙人,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=610867,爱情,53879,32,27,2013-05-17
132,2013,北京遇上西雅图,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=596800,爱情,51975,32,31,2013-03-21
133,2013,小时代,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=614305,爱情,48436,32,32,2013-06-27
134,2013,地心引力,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=602981,科幻,43553,41,23,2013-11-19
135,2013,速度与激情6,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=615668,动作,41330,33,33,2013-07-26
136,2013,疯狂原始人,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=615499,动画,39472,37,28,2013-04-20
137,2013,超人：钢铁之躯,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=388774,动作,39448,41,28,2013-06-20
138,2013,007：大破天幕杀机,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=610088,动作,37613,35,29,2013-01-21
139,2013,星际迷航：暗黑无界,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=589309,科幻,35294,41,23,2013-05-28
140,2013,侏罗纪公园,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=348955,科幻,34886,38,26,2013-08-20
141,2013,十二生肖,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573367,动作,34588,39,27,2012-12-20
142,2013,警察故事2013,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=613384,动作,34537,40,32,2013-12-24
143,2013,雷神2：黑暗世界,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=618535,动作,34240,39,22,2013-11-08
144,2013,特种部队2：全面反击,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=594281,动作,33806,40,25,2013-04-15
145,2013,霍比特人1：意外旅程,http://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=341723,魔幻,31579,44,27,2013-02-22
